日期,战区,渠道,型号,客户,签收金额,数量
2024-04-04,南宁,KA,KFR-35GW,客户26,8839,3
2024-04-23,南宁,KA,KF-26GW,客户19,5673,3
2024-04-13,南宁,KA,KFR-72LW,客户03,10682,3
2024-04-09,南宁,KA,KFR-50GW,客户15,12374,4
2024-04-16,南宁,KA,KFR-35GW,客户25,14689,5
2024-04-12,南宁,KA,KF-26GW,客户05,6455,3
2024-04-19,南宁,B2B,KFR-26GW,客户24,18786,9
2024-04-07,南宁,B2B,KFR-72LW,客户07,32261,9
2024-04-22,南宁,B2B,KFR-35GW,客户07,26923,12
2024-04-24,南宁,B2B,KFR-35GW,客户19,48415,20
2024-04-16,南宁,O2O,KFR-50LW,客户02,6809,2
2024-04-17,南宁,O2O,KFR-32GW,客户25,2526,1
2024-04-05,长沙,传统,KF-32GW,客户28,7070,3
2024-04-05,长沙,传统,KF-32GW,客户03,7044,3
2024-04-30,长沙,传统,KFR-26GW,客户10,4884,2
2024-04-01,长沙,传统,KFR-72LW,客户09,8530,2
2024-04-18,长沙,传统,KFR-26GW,客户11,2473,1
2024-04-26,长沙,KA,KFR-26GW,客户21,10779,5
2024-04-20,长沙,KA,KF-35GW,客户03,4502,2
2024-04-26,长沙,KA,KFR-50LW,客户22,13447,4
2024-04-23,长沙,KA,KFR-50GW,客户06,15336,5
2024-04-03,长沙,B2B,KF-26GW,客户23,11063,6
2024-04-06,长沙,B2B,KFR-50GW,客户06,58823,20
2024-04-19,长沙,B2B,KFR-26GW,客户23,29521,15
2024-04-23,长沙,O2O,KF-50GW,客户25,2834,1
2024-05-22,深圳,传统,KFR-50GW,客户01,3792,1
2024-05-28,深圳,传统,KF-35GW,客户25,7418,3
2024-05-05,深圳,传统,KFR-35GW,客户28,8287,3
2024-05-19,深圳,传统,KF-26GW,客户17,4445,2
2024-05-22,深圳,传统,KFR-32GW,客户22,5150,2
2024-05-24,深圳,传统,KF-35GW,客户05,8267,3
2024-05-02,深圳,传统,KFR-26GW,客户19,5133,2
2024-05-31,深圳,传统,KFR-26GW,客户03,2196,1
2024-05-01,深圳,传统,KFR-72LW,客户29,8953,2
2024-05-31,深圳,传统,KFR-100LW,客户20,8776,2
2024-05-22,深圳,传统,KFR-35GW,客户03,8535,3
2024-05-03,深圳,传统,KFR-35GW,客户20,5807,2
2024-05-24,深圳,KA,KFR-35GW,客户20,7345,3
2024-05-12,深圳,KA,KFR-35GW,客户06,5523,2
2024-05-06,深圳,KA,KF-26GW,客户01,4002,2
2024-05-12,深圳,KA,KFR-50GW,客户12,19000,6
2024-05-28,深圳,KA,KFR-50LW,客户13,13675,4
2024-05-18,深圳,KA,KFR-35GW,客户05,13433,5
2024-05-17,深圳,KA,KF-35GW,客户29,12976,6
2024-05-05,深圳,KA,KFR-32GW,客户07,7310,3
2024-05-10,深圳,KA,KFR-26GW,客户08,11163,5
2024-05-16,深圳,KA,KFR-50GW,客户01,13750,4
2024-05-05,深圳,KA,KFR-72LW,客户03,7580,2
2024-05-28,深圳,KA,KFR-35GW,客户28,10874,4
2024-05-05,深圳,KA,KFR-35GW,客户05,15236,6
2024-05-31,深圳,B2B,KFR-72LW,客户17,67947,20
2024-05-31,深圳,B2B,KFR-35GW,客户18,54417,20
2024-05-12,深圳,B2B,KFR-72LW,客户04,59830,17
2024-05-22,深圳,B2B,KFR-26GW,客户12,21430,10
2024-05-26,深圳,B2B,KF-26GW,客户01,35991,19
2024-05-22,深圳,B2B,KFR-35GW,客户16,43245,18
2024-05-14,深圳,B2B,KFR-50LW,客户14,37422,12
2024-05-19,深圳,O2O,KFR-26GW,客户30,4286,2
2024-05-12,深圳,O2O,KFR-50GW,客户10,5672,2
2024-05-04,深圳,O2O,KF-26GW,客户21,1891,1
2024-05-21,广州,传统,KFR-100LW,客户06,13135,3
2024-05-31,广州,传统,KFR-120LW,客户07,9232,2
2024-05-17,广州,传统,KF-26GW,客户02,2134,1
2024-05-15,广州,传统,KFR-50LW,客户16,3857,1
2024-05-12,广州,传统,KFR-35GW,客户09,8086,3
2024-05-14,广州,传统,KF-50GW,客户09,6016,2
2024-05-15,广州,传统,KF-35GW,客户01,7753,3
2024-05-16,广州,传统,KF-26GW,客户10,4426,2
2024-05-26,广州,传统,KFR-26GW,客户18,4522,2
2024-05-21,广州,传统,KF-26GW,客户01,4447,2
2024-05-11,广州,KA,KF-32GW,客户27,6179,3
2024-05-26,广州,KA,KFR-50LW,客户28,10127,3
2024-05-29,广州,KA,KFR-50GW,客户03,14952,5
2024-05-01,广州,KA,KFR-32GW,客户13,12851,5
2024-05-18,广州,KA,KF-26GW,客户03,3680,2
2024-05-04,广州,KA,KFR-32GW,客户05,11728,5
2024-05-13,广州,KA,KFR-32GW,客户24,15311,6
2024-05-12,广州,KA,KFR-72LW,客户13,15444,4
2024-05-22,广州,KA,KF-32GW,客户14,9305,4
2024-05-04,广州,KA,KFR-26GW,客户02,8313,4
2024-05-19,广州,KA,KFR-32GW,客户16,13932,6
2024-05-18,广州,B2B,KFR-32GW,客户14,23459,10
2024-05-02,广州,B2B,KFR-32GW,客户04,21997,10
2024-05-05,广州,B2B,KF-32GW,客户28,42408,20
2024-05-23,广州,B2B,KFR-32GW,客户07,42764,20
2024-05-19,广州,B2B,KF-32GW,客户09,14576,7
2024-05-10,广州,B2B,KFR-26GW,客户19,28586,14
2024-05-18,广州,O2O,KFR-50GW,客户18,6244,2
2024-05-12,广州,O2O,KFR-50LW,客户12,6683,2
2024-05-18,广州,O2O,KFR-50LW,客户19,5981,2
2024-05-02,东莞,传统,KFR-50GW,客户18,10281,3
2024-05-15,东莞,传统,KFR-50GW,客户06,3282,1
2024-05-23,东莞,传统,KF-32GW,客户02,2403,1
2024-05-14,东莞,传统,KFR-35GW,客户17,9185,3
2024-05-19,东莞,传统,KFR-32GW,客户02,2715,1
2024-05-06,东莞,传统,KFR-35GW,客户04,7802,3
2024-05-17,东莞,传统,KFR-35GW,客户17,5046,2
2024-05-05,东莞,传统,KF-50GW,客户16,2936,1
2024-05-05,东莞,传统,KF-50GW,客户20,3416,1
2024-05-27,东莞,KA,KFR-26GW,客户02,8553,4
2024-05-09,东莞,KA,KFR-32GW,客户23,11439,5
2024-05-21,东莞,KA,KFR-72LW,客户06,7828,2
2024-05-30,东莞,KA,KF-26GW,客户19,9591,5
2024-05-11,东莞,KA,KF-32GW,客户08,10948,5
2024-05-22,东莞,KA,KFR-72LW,客户24,7742,2
2024-05-13,东莞,KA,KF-26GW,客户23,11331,6
2024-05-10,东莞,KA,KFR-32GW,客户08,7020,3
2024-05-26,东莞,B2B,KFR-72LW,客户12,71682,20
2024-05-27,东莞,B2B,KFR-35GW,客户16,15572,6
2024-05-15,东莞,B2B,KFR-50GW,客户02,29951,10
2024-05-05,东莞,B2B,KFR-50GW,客户30,54048,18
2024-05-03,东莞,B2B,KF-32GW,客户05,28160,13
2024-05-24,东莞,O2O,KFR-32GW,客户06,2531,1
2024-05-23,东莞,O2O,KF-26GW,客户03,1981,1
2024-05-01,南宁,传统,KFR-32GW,客户01,7957,3
2024-05-28,南宁,传统,KFR-26GW,客户06,2474,1
2024-05-26,南宁,传统,KFR-50GW,客户02,3436,1
2024-05-05,南宁,传统,KFR-26GW,客户05,4702,2
2024-05-03,南宁,传统,KFR-35GW,客户21,2703,1
2024-05-06,南宁,传统,KFR-50LW,客户01,10282,3
2024-05-20,南宁,传统,KFR-50GW,客户18,10265,3
2024-05-05,南宁,KA,KF-32GW,客户01,3903,2
2024-05-26,南宁,KA,KF-26GW,客户13,9677,5
2024-05-08,南宁,KA,KFR-26GW,客户04,4479,2
2024-05-01,南宁,KA,KFR-50LW,客户13,19856,6
2024-05-07,南宁,KA,KF-32GW,客户15,9815,4
2024-05-29,南宁,KA,KFR-50LW,客户10,16906,5
2024-05-16,南宁,B2B,KFR-32GW,客户07,27412,12
2024-05-05,南宁,B2B,KFR-100LW,客户01,22021,5
2024-05-12,南宁,B2B,KFR-35GW,客户23,43352,18
2024-05-09,南宁,O2O,KFR-32GW,客户09,2417,1
2024-05-17,南宁,O2O,KFR-32GW,客户27,4756,2
2024-05-18,长沙,传统,KF-26GW,客户19,4256,2
2024-05-10,长沙,传统,KFR-50LW,客户02,3568,1
2024-05-21,长沙,传统,KFR-26GW,客户26,2190,1
2024-05-03,长沙,传统,KF-26GW,客户15,6351,3
2024-05-14,长沙,KA,KFR-50GW,客户28,9783,3
2024-05-10,长沙,KA,KFR-26GW,客户13,4329,2
2024-05-23,长沙,KA,KFR-120LW,客户15,14263,3
2024-05-17,长沙,KA,KFR-26GW,客户10,9053,4
2024-05-09,长沙,B2B,KF-32GW,客户04,34268,16
2024-05-11,长沙,B2B,KF-26GW,客户02,9749,5
2024-05-02,长沙,O2O,KFR-35GW,客户01,2413,1
2024-06-25,深圳,传统,KFR-50LW,客户06,7326,2
2024-06-01,深圳,传统,KFR-26GW,客户12,7366,3
2024-06-02,深圳,传统,KFR-26GW,客户24,2439,1
2024-06-02,深圳,传统,KFR-50GW,客户07,3631,1
2024-06-21,深圳,传统,KFR-50LW,客户26,12231,3
2024-06-27,深圳,传统,KFR-50GW,客户05,7146,2
2024-06-22,深圳,传统,KFR-26GW,客户06,6785,3
2024-06-03,深圳,传统,KF-35GW,客户03,8519,3
2024-06-11,深圳,传统,KF-32GW,客户24,4665,2
2024-06-10,深圳,传统,KFR-26GW,客户09,4717,2
2024-06-19,深圳,传统,KF-26GW,客户04,4567,2
2024-06-26,深圳,传统,KF-50GW,客户30,3098,1
2024-06-01,深圳,传统,KFR-32GW,客户01,4942,2
2024-06-22,深圳,KA,KFR-35GW,客户23,5335,2
2024-06-04,深圳,KA,KFR-35GW,客户18,10635,4
2024-06-05,深圳,KA,KFR-32GW,客户30,12084,5
2024-06-29,深圳,KA,KF-26GW,客户01,6030,3
2024-06-19,深圳,KA,KF-32GW,客户07,8127,4
2024-06-03,深圳,KA,KFR-26GW,客户02,11025,5
2024-06-11,深圳,KA,KFR-72LW,客户01,11786,3
2024-06-11,深圳,KA,KF-35GW,客户07,9804,4
2024-06-04,深圳,KA,KFR-50GW,客户03,10181,3
2024-06-11,深圳,KA,KFR-32GW,客户02,13096,5
2024-06-28,深圳,KA,KFR-50GW,客户11,9126,3
2024-06-27,深圳,KA,KFR-26GW,客户02,8778,4
2024-06-03,深圳,KA,KF-26GW,客户13,6163,3
2024-06-22,深圳,B2B,KF-50GW,客户07,15432,6
2024-06-15,深圳,B2B,KFR-35GW,客户22,25656,10
2024-06-15,深圳,B2B,KFR-50LW,客户11,25329,8
2024-06-08,深圳,B2B,KFR-26GW,客户21,17350,8
2024-06-22,深圳,B2B,KFR-26GW,客户22,31945,16
2024-06-03,深圳,B2B,KFR-100LW,客户15,52430,13
2024-06-03,深圳,B2B,KFR-32GW,客户15,20134,9
2024-06-30,深圳,O2O,KF-32GW,客户05,2174,1
2024-06-16,深圳,O2O,KFR-72LW,客户22,7549,2
2024-06-09,深圳,O2O,KFR-26GW,客户16,1954,1
2024-06-20,广州,传统,KF-32GW,客户01,7717,3
2024-06-03,广州,传统,KFR-32GW,客户05,5494,2
2024-06-21,广州,传统,KFR-35GW,客户02,2742,1
2024-06-01,广州,传统,KF-32GW,客户11,7545,3
2024-06-16,广州,传统,KF-50GW,客户20,6225,2
2024-06-06,广州,传统,KFR-50LW,客户09,10429,3
2024-06-29,广州,传统,KFR-26GW,客户13,2311,1
2024-06-08,广州,传统,KF-32GW,客户04,4337,2
2024-06-08,广州,传统,KF-50GW,客户01,9213,3
2024-06-08,广州,传统,KFR-32GW,客户22,9093,3
2024-06-12,广州,传统,KFR-72LW,客户30,8876,2
2024-06-23,广州,KA,KF-50GW,客户02,8074,3
2024-06-19,广州,KA,KFR-35GW,客户13,10114,4
2024-06-16,广州,KA,KFR-50LW,客户12,10726,3
2024-06-03,广州,KA,KFR-50LW,客户02,6295,2
2024-06-30,广州,KA,KFR-26GW,客户13,4310,2
2024-06-23,广州,KA,KFR-72LW,客户21,15659,4
2024-06-23,广州,KA,KFR-32GW,客户21,10099,4
2024-06-28,广州,KA,KF-35GW,客户20,14304,6
2024-06-11,广州,KA,KFR-35GW,客户01,12787,5
2024-06-26,广州,KA,KFR-26GW,客户02,10542,5
2024-06-06,广州,B2B,KFR-50GW,客户05,47739,16
2024-06-05,广州,B2B,KFR-35GW,客户18,36459,14
2024-06-19,广州,B2B,KFR-32GW,客户01,40356,17
2024-06-21,广州,B2B,KFR-26GW,客户13,22144,12
2024-06-12,广州,B2B,KFR-50LW,客户27,27940,9
2024-06-27,广州,B2B,KF-50GW,客户02,19048,7
2024-06-23,广州,O2O,KFR-100LW,客户25,8657,2
2024-06-24,广州,O2O,KFR-26GW,客户04,2098,1
2024-06-16,广州,O2O,KFR-26GW,客户07,4612,2
2024-06-26,东莞,传统,KFR-35GW,客户06,5587,2
2024-06-26,东莞,传统,KF-32GW,客户15,7160,3
2024-06-09,东莞,传统,KF-32GW,客户05,4990,2
2024-06-03,东莞,传统,KF-35GW,客户01,2585,1
2024-06-11,东莞,传统,KFR-50LW,客户25,3588,1
2024-06-21,东莞,传统,KFR-72LW,客户13,8266,2
2024-06-02,东莞,传统,KFR-32GW,客户25,2501,1
2024-06-30,东莞,传统,KFR-26GW,客户03,2189,1
2024-06-04,东莞,KA,KFR-32GW,客户04,7633,3
2024-06-14,东莞,KA,KFR-26GW,客户12,11085,5
2024-06-16,东莞,KA,KFR-26GW,客户22,13456,6
2024-06-16,东莞,KA,KFR-32GW,客户01,6725,3
2024-06-16,东莞,KA,KF-32GW,客户05,9887,5
2024-06-12,东莞,KA,KFR-50GW,客户15,6226,2
2024-06-02,东莞,KA,KF-32GW,客户06,10620,5
2024-06-05,东莞,KA,KFR-32GW,客户09,7627,3
2024-06-26,东莞,B2B,KFR-120LW,客户01,62738,16
2024-06-27,东莞,B2B,KFR-50LW,客户29,34219,12
2024-06-19,东莞,B2B,KFR-50LW,客户29,60718,20
2024-06-02,东莞,B2B,KF-32GW,客户09,13101,7
2024-06-04,东莞,B2B,KFR-50LW,客户25,29916,9
2024-06-05,东莞,O2O,KFR-50GW,客户28,3394,1
2024-06-07,东莞,O2O,KFR-26GW,客户01,4119,2
2024-06-26,南宁,传统,KFR-72LW,客户22,8104,2
2024-06-18,南宁,传统,KFR-26GW,客户07,4963,2
2024-06-23,南宁,传统,KFR-35GW,客户04,5741,2
2024-06-04,南宁,传统,KFR-72LW,客户10,8358,2
2024-06-04,南宁,传统,KFR-50GW,客户02,9168,3
2024-06-26,南宁,传统,KF-35GW,客户12,2366,1
2024-06-19,南宁,KA,KFR-50LW,客户06,16959,5
2024-06-13,南宁,KA,KFR-72LW,客户01,16801,4
2024-06-11,南宁,KA,KFR-32GW,客户13,13553,5
2024-06-30,南宁,KA,KF-26GW,客户01,10295,5
2024-06-09,南宁,KA,KFR-32GW,客户06,10012,4
2024-06-28,南宁,KA,KF-32GW,客户23,4247,2
2024-06-24,南宁,KA,KFR-32GW,客户05,12381,5
2024-06-30,南宁,B2B,KFR-100LW,客户03,41720,11
2024-06-06,南宁,B2B,KF-32GW,客户18,33301,16
2024-06-05,南宁,B2B,KFR-26GW,客户17,31874,17
2024-06-07,南宁,B2B,KF-26GW,客户11,9655,5
2024-06-23,南宁,O2O,KFR-32GW,客户09,5201,2
2024-06-01,长沙,传统,KFR-35GW,客户09,5605,2
2024-06-06,长沙,传统,KFR-32GW,客户09,5170,2
2024-06-29,长沙,传统,KF-50GW,客户09,9195,3
2024-06-10,长沙,传统,KFR-32GW,客户22,2700,1
2024-06-08,长沙,传统,KFR-26GW,客户01,6984,3
2024-06-17,长沙,KA,KFR-120LW,客户04,21821,5
2024-06-06,长沙,KA,KFR-26GW,客户20,4204,2
2024-06-20,长沙,KA,KFR-72LW,客户01,15731,4
2024-06-12,长沙,KA,KF-32GW,客户05,8455,4
2024-06-19,长沙,B2B,KFR-32GW,客户05,39266,17
2024-06-10,长沙,B2B,KFR-26GW,客户10,29749,16
2024-06-21,长沙,O2O,KFR-26GW,客户01,4080,2
2024-07-25,深圳,传统,KFR-35GW,客户15,8520,3
2024-07-13,深圳,传统,KFR-32GW,客户01,8162,3
2024-07-10,深圳,传统,KFR-120LW,客户16,15439,3
2024-07-24,深圳,传统,KFR-32GW,客户07,5347,2
2024-07-23,深圳,传统,KFR-26GW,客户17,7102,3
2024-07-30,深圳,传统,KFR-32GW,客户11,5075,2
2024-07-29,深圳,传统,KF-35GW,客户06,5356,2
2024-07-05,深圳,传统,KFR-50LW,客户05,6770,2
2024-07-22,深圳,传统,KF-26GW,客户18,6503,3
2024-07-12,深圳,传统,KF-35GW,客户15,2460,1
2024-07-09,深圳,传统,KFR-32GW,客户24,5353,2
2024-07-16,深圳,传统,KFR-72LW,客户09,4032,1
2024-07-29,深圳,传统,KFR-26GW,客户14,7099,3
2024-07-10,深圳,KA,KFR-26GW,客户16,12930,6
2024-07-14,深圳,KA,KFR-50GW,客户24,9897,3
2024-07-05,深圳,KA,KF-50GW,客户25,15002,5
2024-07-06,深圳,KA,KFR-35GW,客户17,4971,2
2024-07-09,深圳,KA,KFR-35GW,客户01,13442,5
2024-07-25,深圳,KA,KFR-32GW,客户20,14910,6
2024-07-21,深圳,KA,KF-26GW,客户02,9507,5
2024-07-07,深圳,KA,KFR-50GW,客户08,15977,5
2024-07-25,深圳,KA,KF-26GW,客户28,8147,4
2024-07-23,深圳,KA,KF-32GW,客户03,4322,2
2024-07-13,深圳,KA,KF-32GW,客户05,4319,2
2024-07-10,深圳,KA,KFR-50LW,客户05,6990,2
2024-07-11,深圳,KA,KFR-50GW,客户10,18643,6
2024-07-31,深圳,B2B,KF-26GW,客户02,36305,20
2024-07-08,深圳,B2B,KF-35GW,客户21,11160,5
2024-07-06,深圳,B2B,KFR-32GW,客户30,24806,11
2024-07-13,深圳,B2B,KFR-26GW,客户17,11159,6
2024-07-04,深圳,B2B,KF-32GW,客户04,12072,6
2024-07-14,深圳,B2B,KFR-100LW,客户01,31597,8
2024-07-23,深圳,B2B,KFR-50GW,客户02,37450,13
2024-07-22,深圳,O2O,KFR-26GW,客户08,2113,1
2024-07-17,深圳,O2O,KFR-50LW,客户14,3015,1
2024-07-26,深圳,O2O,KF-26GW,客户02,2058,1
2024-07-12,广州,传统,KFR-32GW,客户03,5646,2
2024-07-18,广州,传统,KF-26GW,客户05,1909,1
2024-07-22,广州,传统,KFR-50LW,客户03,7338,2
2024-07-22,广州,传统,KFR-26GW,客户02,6995,3
2024-07-29,广州,传统,KFR-50LW,客户28,11814,3
2024-07-09,广州,传统,KFR-32GW,客户03,5490,2
2024-07-12,广州,传统,KFR-50GW,客户01,3697,1
2024-07-04,广州,传统,KF-32GW,客户05,6639,3
2024-07-21,广州,传统,KFR-26GW,客户19,2388,1
2024-07-31,广州,传统,KFR-32GW,客户06,5306,2
2024-07-04,广州,传统,KFR-72LW,客户24,4082,1
2024-07-23,广州,KA,KF-50GW,客户04,15111,5
2024-07-02,广州,KA,KF-32GW,客户21,7049,3
2024-07-14,广州,KA,KF-50GW,客户23,6147,2
2024-07-13,广州,KA,KF-35GW,客户09,14031,6
2024-07-16,广州,KA,KF-26GW,客户13,5881,3
2024-07-21,广州,KA,KF-35GW,客户02,11656,5
2024-07-25,广州,KA,KFR-35GW,客户17,16148,6
2024-07-11,广州,KA,KF-26GW,客户18,6500,3
2024-07-04,广州,KA,KFR-50LW,客户16,20371,6
2024-07-13,广州,KA,KFR-50GW,客户18,15457,5
2024-07-02,广州,KA,KFR-32GW,客户22,15750,6
2024-07-03,广州,B2B,KF-35GW,客户10,46175,20
2024-07-09,广州,B2B,KF-26GW,客户05,25549,15
2024-07-15,广州,B2B,KFR-26GW,客户03,32850,17
2024-07-28,广州,B2B,KFR-50GW,客户12,21190,7
2024-07-13,广州,B2B,KFR-50LW,客户05,62991,20
2024-07-27,广州,B2B,KFR-50GW,客户12,14685,5
2024-07-21,广州,B2B,KFR-26GW,客户13,29273,14
2024-07-27,广州,O2O,KF-35GW,客户06,2204,1
2024-07-15,广州,O2O,KFR-32GW,客户08,4745,2
2024-07-01,广州,O2O,KFR-26GW,客户19,2005,1
2024-07-04,东莞,传统,KF-32GW,客户29,4537,2
2024-07-27,东莞,传统,KFR-26GW,客户02,2291,1
2024-07-04,东莞,传统,KF-26GW,客户18,2160,1
2024-07-27,东莞,传统,KF-35GW,客户07,5249,2
2024-07-21,东莞,传统,KF-26GW,客户17,2164,1
2024-07-15,东莞,传统,KF-32GW,客户13,4683,2
2024-07-24,东莞,传统,KFR-100LW,客户28,4670,1
2024-07-16,东莞,传统,KFR-26GW,客户27,6965,3
2024-07-27,东莞,传统,KF-35GW,客户20,2512,1
2024-07-17,东莞,KA,KFR-35GW,客户13,10387,4
2024-07-09,东莞,KA,KF-32GW,客户07,14293,6
2024-07-15,东莞,KA,KFR-50GW,客户06,12363,4
2024-07-10,东莞,KA,KF-32GW,客户02,12977,6
2024-07-23,东莞,KA,KF-32GW,客户11,8177,4
2024-07-10,东莞,KA,KF-26GW,客户11,6182,3
2024-07-23,东莞,KA,KF-26GW,客户26,6457,3
2024-07-23,东莞,KA,KFR-100LW,客户28,24244,6
2024-07-19,东莞,KA,KFR-26GW,客户06,10643,5
2024-07-01,东莞,B2B,KFR-120LW,客户07,60572,14
2024-07-02,东莞,B2B,KFR-50LW,客户01,27320,9
2024-07-05,东莞,B2B,KFR-120LW,客户03,44842,10
2024-07-07,东莞,B2B,KF-32GW,客户16,28316,14
2024-07-24,东莞,B2B,KF-26GW,客户01,38045,19
2024-07-08,东莞,O2O,KFR-32GW,客户15,5082,2
2024-07-13,东莞,O2O,KFR-50LW,客户21,6615,2
2024-07-31,南宁,传统,KF-35GW,客户29,5007,2
2024-07-28,南宁,传统,KFR-50LW,客户01,7566,2
2024-07-23,南宁,传统,KF-32GW,客户22,7823,3
2024-07-25,南宁,传统,KF-26GW,客户06,6064,3
2024-07-06,南宁,传统,KF-26GW,客户03,4239,2
2024-07-02,南宁,传统,KF-50GW,客户01,3128,1
2024-07-28,南宁,KA,KFR-50LW,客户02,20066,6
2024-07-20,南宁,KA,KFR-32GW,客户05,8241,3
2024-07-27,南宁,KA,KFR-26GW,客户27,13387,6
2024-07-23,南宁,KA,KFR-120LW,客户09,26738,6
2024-07-17,南宁,KA,KFR-35GW,客户03,7973,3
2024-07-12,南宁,KA,KFR-26GW,客户10,10315,5
2024-07-10,南宁,B2B,KFR-32GW,客户05,35829,16
2024-07-21,南宁,B2B,KFR-32GW,客户19,49632,20
2024-07-08,南宁,B2B,KFR-26GW,客户15,37777,19
2024-07-11,南宁,B2B,KF-35GW,客户13,28044,12
2024-07-18,南宁,O2O,KF-26GW,客户02,3837,2
2024-07-16,南宁,O2O,KF-26GW,客户01,3680,2
2024-07-03,长沙,传统,KF-35GW,客户03,7581,3
2024-07-07,长沙,传统,KF-35GW,客户02,7098,3
2024-07-14,长沙,传统,KFR-120LW,客户20,14382,3
2024-07-14,长沙,传统,KF-32GW,客户03,7559,3
2024-07-22,长沙,传统,KFR-100LW,客户27,13153,3
2024-07-09,长沙,KA,KFR-50GW,客户05,6639,2
2024-07-30,长沙,KA,KFR-50LW,客户12,10435,3
2024-07-22,长沙,KA,KFR-32GW,客户07,12256,5
2024-07-03,长沙,KA,KFR-26GW,客户01,13065,6
2024-07-10,长沙,KA,KF-26GW,客户13,3886,2
2024-07-13,长沙,B2B,KFR-35GW,客户01,48805,19
2024-07-24,长沙,B2B,KFR-50GW,客户15,60463,20
2024-07-10,长沙,O2O,KF-26GW,客户11,2013,1
2024-08-01,深圳,传统,KF-35GW,客户21,7083,3
2024-08-02,深圳,传统,KFR-50LW,客户11,3322,1
2024-08-07,深圳,传统,KFR-26GW,客户13,6865,3
2024-08-07,深圳,传统,KF-26GW,客户26,4318,2
2024-08-20,深圳,传统,KFR-50GW,客户15,10636,3
2024-08-22,深圳,传统,KF-32GW,客户03,2449,1
2024-08-10,深圳,传统,KF-26GW,客户23,6118,3
2024-08-24,深圳,传统,KFR-120LW,客户04,4963,1
2024-08-04,深圳,传统,KFR-72LW,客户28,8902,2
2024-08-11,深圳,传统,KFR-35GW,客户01,3030,1
2024-08-19,深圳,传统,KFR-50GW,客户05,10192,3
2024-08-06,深圳,传统,KFR-50LW,客户21,7847,2
2024-08-09,深圳,传统,KFR-26GW,客户04,2296,1
2024-08-15,深圳,KA,KFR-26GW,客户18,10141,5
2024-08-20,深圳,KA,KFR-50GW,客户20,15744,5
2024-08-29,深圳,KA,KFR-26GW,客户04,6475,3
2024-08-28,深圳,KA,KFR-50LW,客户04,6792,2
2024-08-19,深圳,KA,KFR-50LW,客户01,18523,6
2024-08-18,深圳,KA,KFR-50GW,客户13,6104,2
2024-08-13,深圳,KA,KFR-50GW,客户20,12719,4
2024-08-03,深圳,KA,KFR-32GW,客户20,10327,4
2024-08-28,深圳,KA,KFR-50GW,客户10,10161,3
2024-08-06,深圳,KA,KF-50GW,客户30,8832,3
2024-08-24,深圳,KA,KFR-32GW,客户28,7247,3
2024-08-03,深圳,KA,KF-26GW,客户27,4101,2
2024-08-13,深圳,B2B,KFR-32GW,客户15,38570,16
2024-08-04,深圳,B2B,KFR-50GW,客户08,19130,6
2024-08-27,深圳,B2B,KF-26GW,客户10,24643,13
2024-08-19,深圳,B2B,KF-26GW,客户12,17974,10
2024-08-13,深圳,B2B,KFR-100LW,客户22,53825,13
2024-08-16,深圳,B2B,KF-50GW,客户03,43123,17
2024-08-17,深圳,B2B,KF-26GW,客户25,10059,5
2024-08-12,深圳,O2O,KFR-50GW,客户03,6339,2
2024-08-14,深圳,O2O,KFR-72LW,客户22,3953,1
2024-08-19,深圳,O2O,KF-32GW,客户17,4213,2
2024-08-05,广州,传统,KF-32GW,客户01,2268,1
2024-08-05,广州,传统,KFR-72LW,客户02,11377,3
2024-08-17,广州,传统,KFR-26GW,客户04,2316,1
2024-08-24,广州,传统,KF-35GW,客户13,7148,3
2024-08-07,广州,传统,KFR-120LW,客户04,4507,1
2024-08-20,广州,传统,KFR-50GW,客户30,7266,2
2024-08-20,广州,传统,KFR-32GW,客户12,2882,1
2024-08-20,广州,传统,KFR-100LW,客户04,13390,3
2024-08-05,广州,传统,KFR-72LW,客户03,7593,2
2024-08-20,广州,传统,KFR-26GW,客户03,6744,3
2024-08-20,广州,传统,KFR-26GW,客户09,6406,3
2024-08-29,广州,KA,KF-26GW,客户10,4304,2
2024-08-17,广州,KA,KFR-72LW,客户22,20573,5
2024-08-16,广州,KA,KFR-50GW,客户24,17394,6
2024-08-26,广州,KA,KF-26GW,客户07,12787,6
2024-08-16,广州,KA,KF-26GW,客户19,12433,6
2024-08-10,广州,KA,KF-26GW,客户26,4118,2
2024-08-26,广州,KA,KFR-72LW,客户11,16281,4
2024-08-01,广州,KA,KFR-26GW,客户10,14032,6
2024-08-14,广州,KA,KFR-35GW,客户03,10533,4
2024-08-14,广州,KA,KFR-100LW,客户04,26495,6
2024-08-26,广州,KA,KFR-50LW,客户13,17264,5
2024-08-09,广州,B2B,KFR-32GW,客户12,43270,20
2024-08-22,广州,B2B,KF-50GW,客户12,45502,17
2024-08-04,广州,B2B,KFR-26GW,客户03,18060,10
2024-08-22,广州,B2B,KFR-32GW,客户07,34960,15
2024-08-26,广州,B2B,KF-26GW,客户02,8701,5
2024-08-12,广州,B2B,KFR-26GW,客户02,37232,18
2024-08-20,广州,O2O,KFR-26GW,客户07,4313,2
2024-08-21,广州,O2O,KFR-100LW,客户04,4595,1
2024-08-07,广州,O2O,KFR-50LW,客户01,6476,2
2024-08-12,东莞,传统,KFR-72LW,客户10,3999,1
2024-08-03,东莞,传统,KFR-32GW,客户01,2530,1
2024-08-07,东莞,传统,KF-50GW,客户20,6145,2
